id,public_id,description,level,parent_id
270,1602947,Backpacks,3,59
271,1602960,Beads & Rhinestones,3,32
272,1602961,Pipe Cleaners / Bumps / Stems,3,32
273,1602962,Sequins and Spangles,3,32
274,1602964,Buttons,3,32
275,1602965,Feathers,3,32
276,1602966,Pom Poms,3,32
277,1602967,Wiggly Eyes/Craft Eyes,3,32
278,1602969,Craft Sticks,3,32
279,1602970,Fun Buckets,3,32
280,1602973,Shapes,3,32
281,1602978,Ice Buckets,3,53
282,1602994,Brush Tip Pens,3,32
283,1602995,Handwriting Paper & Pads,3,36
284,1603014,Headphones,3,8
285,1603030,Felt,3,32
286,1603031,Puzzles,3,32
287,1603033,Dough Gadgets,3,32
288,1603035,Clothespins/Clothesline,3,32
289,1603037,Plaster Crafts,3,32
290,1603038,Straws,3,53
291,1603041,Pens,3,60
292,1603046,Calculators,3,12
293,1603049,Monitors,3,10
294,1603056,Audio/Video Cables & Accessories,3,8
295,1603068,Exam Gloves,3,61
296,1603073,Stethoscopes,3,34
297,1603074,Blood Pressure Monitors,3,34
298,1603080,Glove Box Holders,3,61
299,1603086,Medical Scales,3,34
300,1603094,Paper Mache,3,32
301,1603108,Restroom Mats,3,55
302,1603109,Medical Cabinets,3,38
303,1603115,Tongue Depressors,3,34
304,1603132,Blocks,3,32
305,1603136,Hand Sanitizers,3,19
306,1603138,Refrigerators / Coolers / Freezers,3,62
307,1603140,Microwave Ovens,3,62
308,1603141,Toasters & Toaster Ovens,3,62
309,1603142,Can Openers,3,62
310,1603144,Sweets,3,37
311,1603148,Marking / Industrial Paint,3,63
312,1603150,Faucets,3,55
313,1603154,Training Tables,3,39
314,1603158,Hard Drives,3,10
315,1603178,Photo Paper,3,58
316,1603179,Cards & Stationery Sets,3,46
317,1603191,Board & Easel Accessories,3,16
318,1603203,Hairnets,3,52
319,1603204,Defibrillators & Accessories,3,34
320,1603212,Arts & Crafts Kits/Accessories,3,32
321,1603217,Condiments,3,37
322,1603218,Oil Pastels / Pastel Sticks,3,32
323,1603224,Learning Toys & Blocks,3,50
324,1603230,Safety Data Sheets - SDS,3,29
325,1603237,Flush Systems,3,55
326,1603245,Air Respirators & Accessories,3,52
327,1603256,Enclosed Boards,3,16
328,1603259,Toothpicks,3,48
329,1603261,Urinal Deodorant Blocks,3,55
330,1603268,Foam,3,32
331,1603271,Furniture Covers,3,64
332,1603291,Changing Tables / Liners,3,55
333,1603317,Safety Horn,3,29
334,1603320,Safety Jackets / Vests,3,52
335,1603327,Security Paper,3,58
336,1603332,Hand Dryers,3,55
337,1603346,Craft Glue,3,32
338,1603359,Specialty Paper,3,58
339,1603380,Laundry Cleaning & Supplies,3,51
340,1603383,Sports Equipment,3,50
341,1603388,Cleaning Wipes,3,51
342,1603406,Shower Accessories,3,55
343,1603413,Binder Pockets,3,44
344,1603414,Binder Spine Inserts/Labels,3,44
345,1603415,Binder Refill Pages,3,44
346,1603417,Index Divider,3,44
347,1603418,Sheet Protectors,3,44
348,1603419,Business Card Books,3,35
349,1603420,Data/Hanging Binders,3,35
350,1603422,Organizer/Zip Binders,3,35
351,1603423,Pocket Folders,3,35
352,1603425,Report Covers,3,35
353,1603426,Shopping Bags,3,48
354,1603427,Briefcases & Laptop Bags,3,59
355,1603428,Luggage / Travel & Accessories,3,59
356,1603429,Address/Phone & PW Books,3,11
357,1603430,Calendars & Refills,3,11
358,1603431,Planners & Refills,3,11
359,1603432,Planning Boards,3,16
360,1603433,Index Cards & Accessories,3,46
361,1603436,Cash Drawers & Storage,3,65
362,1603437,Cash Handling Supplies,3,65
363,1603438,Check Writers,3,65
364,1603440,Counterfeit Detectors,3,65
365,1603441,Copyholders,3,13
366,1603443,Desk Pads & Mats,3,13
367,1603444,Desk Shelves,3,13
368,1603445,Desktop/Supply Drawers,3,13
369,1603446,Desktop File Sorters,3,13
370,1603447,Pencil Holders,3,13
371,1603448,Wall File Organizers,3,13
372,1603449,Large Format / Catalog Envelopes,3,14
373,1603451,Specialty Envelopes,3,14
374,1603452,Expanding Files,3,23
375,1603453,Fastener Folders,3,23
376,1603454,Top Tab File Folders,3,23
377,1603455,Filing Jackets & Pockets,3,23
378,1603456,Filing Accessories,3,23
379,1603457,Filing Guides,3,23
380,1603458,Hanging Folders & Accessories,3,23
381,1603459,Index Accessories & Page Markers,3,23
382,1603460,Indexing Flags,3,23
383,1603461,Legal Dividers,3,44
384,1603463,Account / Record Books,3,20
385,1603464,Bill of Lading Forms,3,20
386,1603465,Business/Legal Forms,3,20
387,1603466,Certificates & Seals,3,26
388,1603467,Clipboards,3,26
389,1603468,Employment Forms,3,20
390,1603469,Gift Certificates,3,20
391,1603470,Inventory Forms & Tags,3,20
392,1603472,Claim/Medical Forms,3,20
393,1603473,Minute & Logbooks,3,20
394,1603474,Receiving & Purchase Order Forms,3,20
395,1603475,Visitor Registry Books,3,20
396,1603476,Adhesive Notes & Dispensers,3,26
397,1603477,Binder / Bulldog Clips,3,26
398,1603478,Correction Supplies,3,26
399,1603479,ID Badges & Supplies,3,26
400,1603480,Paper Fasteners & Clamps,3,26
401,1603481,Paper Punches,3,26
402,1603482,Paper Trimmers & Accessories,3,26
403,1603484,Signs & Nameplates,3,26
404,1603485,Staplers,3,26
405,1603486,Staples & Staple Removers,3,26
406,1603487,Tags & Tickets,3,26
407,1603488,Wall Clips,3,26
408,1603489,Address / Shipping Labels,3,43
409,1603490,Filing Labels,3,43
410,1603491,Specialty & Warning Labels,3,43
411,1603492,Label Dispensers & Holders,3,43
412,1603493,Label Tapes & Label Maker Labels,3,43
413,1603494,Media Labels,3,43
414,1603495,Medical Labels,3,43
415,1603496,Multipurpose & ID Labels,3,43
416,1603497,Mailing/Document Tubes,3,21
417,1603498,Packing Slip Forms/Envelopes,3,21
418,1603499,Packing Supplies,3,21
419,1603500,Packing Tape & Dispensers,3,21
420,1603501,Stretch Wrap & Dispensers,3,21
421,1603502,Mailroom Equipment & Supplies,3,21
422,1603503,Copy & Printer Paper,3,58
423,1603504,Filler Paper,3,58
424,1603505,Graph Paper,3,58
425,1603506,"Letter, Legal & Jr. Pads",3,58
426,1603507,Note Pads,3,58
427,1603508,Notebooks,3,58
428,1603509,Register / Thermal Receipts,3,58
429,1603510,Address & Office Stamps,3,49
430,1603511,Daters,3,49
431,1603512,Embossers,3,49
432,1603513,Stamp Ink & Refills,3,49
433,1603514,Stamp Pads & Accessories,3,49
434,1603515,File Storage Containers & Drawers,3,66
435,1603517,Storage Containers,3,66
436,1603519,Storage / Moving Boxes,3,66
437,1603520,Double-Sided Tape,3,25
438,1603521,General Purpose/Office Tape,3,25
439,1603522,Tape Dispensers,3,25
440,1603523,Erasers,3,60
441,1603524,Grips & Cushions,3,60
442,1603525,Highlighters,3,60
443,1603526,Markers & Dry-Erase,3,60
444,1603527,Pen & Pencil Sets,3,60
445,1603528,Pencils,3,60
446,1603529,Refills,3,60
447,1603530,Sharpeners,3,60
448,1603531,Calendar Boards,3,16
449,1603532,Combo Boards,3,16
450,1603533,Dry Erase Boards,3,16
451,1603534,Easels,3,16
452,1603535,Carts,3,30
453,1603536,Stands,3,30
454,1603537,Collections,3,67
455,1603538,Commercial Desks,3,67
456,1603539,Desktop Risers,3,67
457,1603540,Home & Office Desks,3,67
458,1603541,Sit-Stand,3,67
459,1603542,Sit-Stand Mats,3,67
460,1603543,Activity Tables,3,68
461,1603544,Rugs & Mats,3,47
462,1603545,Cubbies & Storage,3,47
463,1603546,Student Chairs,3,68
464,1603547,Student Desks & Carrels,3,68
465,1603548,Casters & Glides,3,64
466,1603549,Desk Drawers,3,64
467,1603550,Furniture Pads & Slides,3,64
468,1603553,Furniture Repair Kits,3,64
469,1603554,Carpets / Rugs,3,69
470,1603555,Clocks,3,69
471,1603556,Frames & Plaques,3,69
472,1603557,Garment Racks,3,69
473,1603558,Hooks & Hangers,3,69
474,1603559,Lamps & Lighting,3,69
475,1603560,"Maps, Flags & Globes",3,47
476,1603561,Wall Art,3,69
477,1603562,Car Organizers,3,31
478,1603563,Floor Display Racks,3,31
